ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,Bestimme Höhe Dürreanfang,
Floodgate.Triggers.EnableOnDroughtEnded,Bestimme Höhe Dürreende,
Floodgate.Schedule.Enable,Bestimme Höhe Zeitplan,
Floodgate.Schedule.DisableOnDrought,Kein Zeitplan Dürre,
Floodgate.Schedule.DisableOnTemperate,Kein Zeitplan gemäßigtes Wetter,
Floodgate.Triggers.Time,Zeit,
Floodgate.Triggers.Height,Höhe,
Floodgate.Triggers.Basic,Basis,
Floodgate.Triggers.Timer,Zeitplan,
Floodgate.Triggers.Advanced,Erweitert,
Floodgate.Triggers.AttachToStreamGauge,Verbinde Wasserströmungsanzeige,
Floodgate.Triggers.PickStreamGaugeTitle,Wähle eine Wasserströmungsanzeige,
Floodgate.Triggers.PickStreamGaugeTip,"Nein wirklich,wähle irgendeine.",
Floodgates.Triggers.NoLinks,Keine Wasserströmungsanzeige verbunden,
Floodgates.Triggers.NoFloodgateLinks,Keine Objekte verbunden,
Floodgates.Triggers.LinkedFloodgates,Verbundene Objekte,
Floodgates.Triggers.Threshold1,Anzeige niederer Wert,
Floodgates.Triggers.Threshold2,Anzeige hoher Wert,
Floodgates.Triggers.HeightWhenBelowThreshold1,Höhe unter niederem Wert,
Floodgates.Triggers.HeightWhenAboveThreshold2,Höhe über hohem Wert,
Floodgate.Triggers.PauseOnDroughtStart,Anhalten Dürreanfang,
Floodgate.Triggers.UnpauseOnDroughtStart,Fortsetzen Dürreanfang,
Floodgate.Triggers.UnpauseOnTemperateStart,Fortsetzen gemäßigter Wetteranfang,
Floodgate.Triggers.PauseOnTemperateStart,Anhalten gemäßigter Wetteranfang,
Floodgates.WaterpumpTrigger.Threshold1,Anhalten <,
Floodgates.WaterpumpTrigger.Threshold2,Anhalten >,
Floodgates.WaterpumpTrigger.Threshold3,Fortsetzen <,
Floodgates.WaterpumpTrigger.Threshold4,Fortsetzen >,
Floodgates.WaterpumpTrigger.PauseStartTime,Anhalten Startzeit,
Floodgates.WaterpumpTrigger.ResumeStartTime,Fortsetzen Startzeit,
Floodgates.WaterpumpTrigger.DisableDuringDrought,Anhalten Dürre,
Floodgates.WaterpumpTrigger.DisableDuringTemperate,Anhalten gemäßigtes Wetter,
Floodgate.Triggers.PauseOnSchedule,Anhalten Zeitplan,
Floodgate.Triggers.EnableOnBadtideStarted,Bestimme Höhe Faulwasserflutanfang,
Floodgate.Triggers.EnableOnBadtideEnded,Bestimme Höhe Faulwasserflutende,
Floodgate.Schedule.DisableOnBadtide,Kein Zeitplan Faulwasserflut,
Floodgates.WaterpumpTrigger.DisableDuringBadtide,Anhalten Faulwasserflut,
Floodgate.Triggers.PauseOnBadtideStart,Anhalten Faulwasserflutstart,
Floodgate.Triggers.UnpauseOnBadtideStart,Fortsetzen Faulwasserflutstart,
Floodgates.Triggers.ContaminationThresholdLow,Kontamination niederer Wert,
Floodgates.Triggers.ContaminationThresholdHigh,Kontamination hoher Wert,
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,Höhe unter niederer Kontamination,
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,Höhe über hoher Kontamination,
Floodgates.Triggers.Depth,Tiefe,
Floodgates.Triggers.Contamination,Kontamination,
