ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,當乾旱開始時設定高度,
Floodgate.Triggers.EnableOnDroughtEnded,當乾旱結束時設定高度,
Floodgate.Schedule.Enable,在排程設定高度,
Floodgate.Schedule.DisableOnDrought,乾旱時禁用排程,
Floodgate.Schedule.DisableOnTemperate,平時禁用排程,
Floodgate.Triggers.Time,時間,
Floodgate.Triggers.Height,高度,
Floodgate.Triggers.Basic,基本,
Floodgate.Triggers.Timer,計時器,
Floodgate.Triggers.Advanced,進階,
Floodgate.Triggers.AttachToStreamGauge,綁定水流計,
Floodgate.Triggers.PickStreamGaugeTitle,選擇一個水流計,
Floodgate.Triggers.PickStreamGaugeTip,真的，隨便選一個。
Floodgates.Triggers.NoLinks,沒有綁定水流計,
Floodgates.Triggers.NoFloodgateLinks,沒有物件連接,
Floodgates.Triggers.LinkedFloodgates,連接的物件,
Floodgates.Triggers.Threshold1,水流計下限值,
Floodgates.Triggers.Threshold2,水流計上限值,
Floodgates.Triggers.HeightWhenBelowThreshold1,低於下限值時的水閘高度,
Floodgates.Triggers.HeightWhenAboveThreshold2,高於上限值時的水閘高度,
Floodgate.Triggers.PauseOnDroughtStart,乾旱開始時暫停,
Floodgate.Triggers.UnpauseOnDroughtStart,乾旱開始時取消暫停,
Floodgate.Triggers.UnpauseOnDroughtEnded,乾旱結束時取消暫停,
Floodgate.Triggers.PauseOnDroughtEnded,乾旱結束時暫停,
Floodgates.WaterpumpTrigger.Threshold1,暫停當低於,
Floodgates.WaterpumpTrigger.Threshold2,暫停當高於,
Floodgates.WaterpumpTrigger.Threshold3,取消暫停當低於,
Floodgates.WaterpumpTrigger.Threshold4,取消暫停當高於,
Floodgates.WaterpumpTrigger.PauseStartTime,暫停開始時間,
Floodgates.WaterpumpTrigger.ResumeStartTime,繼續開始時間,
Floodgates.WaterpumpTrigger.DisableDuringDrought,乾旱時禁用,
Floodgates.WaterpumpTrigger.DisableDuringTemperate,平時禁用,
